Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?
ANKA TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;-1;False;True;False;False;0;False;False;False;False;False;False;0;False;;0;False
ANKARA BİLİM ÜNİVERSİTESİ;www.ankarabilim.edu.tr;True;True;2024-12-12 00:00:00;2026-01-11 23:59:59;False;False;False;False;False;False;True;True;0;True;True;True;True;True;Kapsam Dışı;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;False;437;True;False;True;False;807;False;True;False;True;False;True;0;True;index, follow, noodp;25;False
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ;https://hacibayram.edu.tr;True;True;2024-07-29 09:37:09;2025-08-30 09:37:08;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı;False;False;False;True;False;False;False;False;False;True;True;True;True;True;True;False;511;True;False;False;False;47;True;True;False;False;False;True;0;True;index, follow;36;False
ANKARA MEDİPOL ÜNİVERSİTESİ;www.ankaramedipol.edu.tr;True;True;2025-03-23 13:32:08;2025-06-21 14:31:50;False;False;True;True;True;False;False;True;3;True;False;False;False;True;Kapsam Dışı;False;False;False;False;True;True;False;True;True;True;True;True;True;True;True;False;1035;True;False;True;False;2147;False;True;False;True;True;True;3;True;index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1;27;False
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ;http://www.mgu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;-1;False;True;False;False;0;False;False;False;False;False;False;0;False;;0;False
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ;http://www.asbu.edu.tr/;True;True;2025-01-31 00:00:00;2026-02-04 23:59:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;-1;False;True;False;False;0;False;False;False;False;False;True;0;False;;0;False
ANKARA ÜNİVERSİTESİ;http://www.ankara.edu.tr;True;True;2025-04-29 00:00:00;2026-05-14 23:59:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı;False;False;False;True;False;False;False;False;False;True;True;True;True;True;True;False;523;False;False;False;False;50;False;True;False;True;False;True;0;False;max-image-preview:large;19;False
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ;www.aybu.edu.tr;True;True;2024-10-08 00:00:00;2025-11-08 23:59:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı;False;False;False;True;False;True;False;False;False;True;True;True;True;True;True;False;1131;True;False;True;False;2987;False;True;False;False;False;True;19;True;;36;False
ANTALYA BELEK ÜNİVERSİTESİ;www.belek.edu.tr;True;True;2025-02-17 05:59:23;2026-02-17 05:59:23;True;False;False;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı;False;False;False;True;False;True;False;False;True;False;False;True;True;True;True;False;778;True;False;True;False;755;False;True;False;False;False;True;3;True;;26;False
ANTALYA BİLİM ÜNİVERSİTESİ;http://www.antalya.edu.tr/;True;True;2024-06-07 00:00:00;2025-06-06 23:59:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı;False;False;False;False;True;True;False;False;True;True;True;False;True;False;True;False;372;True;False;True;False;1206;False;True;False;False;False;False;0;True;;38;False
