Birim Adı;Güvenlik Skoru (%);;;;
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;45.41;;;;
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;44.58;;;;
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;44.58;;;;
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ;44.16;;;;
FIRAT ÜNİVERSİTESİ;44.16;;;;
HASAN KALYONCU ÜNİVERSİTESİ;44.16;;;;
İBN HALDUN ÜNİVERSİTESİ;44.16;;;;
MARDİN ARTUKLU ÜNİVERSİTESİ;44.16;;;;
ORDU ÜNİVERSİTESİ;44.16;;;;
SELÇUK ÜNİVERSİTESİ;44.16;;;;
AMASYA ÜNİVERSİTESİ;43.75;;;;
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ;43.75;;;;
KAYSERİ ÜNİVERSİTESİ;43.75;;;;
NUH NACİ YAZGAN ÜNİVERSİTESİ;43.75;;;;
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ;43.75;;;;
İSTANBUL GELİŞİM ÜNİVERSİTESİ;43.74;;;;
İSTANBUL KÜLTÜR ÜNİVERSİTESİ;43.74;;;;
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;43.74;;;;
İSTANBUL ÜNİVERSİTESİ;43.74;;;;
İSTİNYE ÜNİVERSİTESİ;43.74;;;;
İZMİR EKONOMİ ÜNİVERSİTESİ;43.74;;;;
SAKARYA ÜNİVERSİTESİ;43.74;;;;
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ;42.91;;;;
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ;42.49;;;;
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;42.49;;;;
ALANYA ÜNİVERSİTESİ;42.49;;;;
ANKA TEKNOLOJİ ÜNİVERSİTESİ;42.49;;;;
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ;42.49;;;;
BALIKESİR ÜNİVERSİTESİ;42.49;;;;
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;42.49;;;;
BİTLİS EREN ÜNİVERSİTESİ;42.49;;;;
DEMİROĞLU BİLİM ÜNİVERSİTESİ;42.49;;;;
HAKKARİ ÜNİVERSİTESİ;42.49;;;;
İNÖNÜ ÜNİVERSİTESİ;42.49;;;;
İSTANBUL ESENYURT ÜNİVERSİTESİ;42.49;;;;
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;42.49;;;;
İSTANBUL TİCARET ÜNİVERSİTESİ;42.49;;;;
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ;42.49;;;;
KOCAELİ ÜNİVERSİTESİ;42.49;;;;
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ;42.49;;;;
MUŞ ALPARSLAN ÜNİVERSİTESİ;42.49;;;;
OSTİM TEKNİK ÜNİVERSİTESİ;42.49;;;;
SANKO ÜNİVERSİTESİ;42.49;;;;
TÜRK HAVA KURUMU ÜNİVERSİTESİ;42.49;;;;
TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;42.49;;;;
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;42.49;;;;
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ;42.49;;;;
YÜKSEK İHTİSAS ÜNİVERSİTESİ;42.49;;;;
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ;42.49;;;;
HARRAN ÜNİVERSİTESİ;42.08;;;;
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ;42.08;;;;
MUNZUR ÜNİVERSİTESİ;42.08;;;;
İSTANBUL AYDIN ÜNİVERSİTESİ;42.07;;;;
İSTANBUL RUMELİ ÜNİVERSİTESİ;42.07;;;;
İSTANBUL AREL ÜNİVERSİTESİ;41.24;;;;
ADIYAMAN ÜNİVERSİTESİ;40.41;;;;
AKSARAY ÜNİVERSİTESİ;40.41;;;;
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ;40.41;;;;
ANTALYA BELEK ÜNİVERSİTESİ;40.41;;;;
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;40.41;;;;
AVRASYA ÜNİVERSİTESİ;40.41;;;;
BEYKOZ ÜNİVERSİTESİ;40.41;;;;
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ;40.41;;;;
GALATASARAY ÜNİVERSİTESİ;40.41;;;;
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;40.41;;;;
HALİÇ ÜNİVERSİTESİ;40.41;;;;
HİTİT ÜNİVERSİTESİ;40.41;;;;
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;40.41;;;;
İSTANBUL TOPKAPI ÜNİVERSİTESİ;40.41;;;;
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ;40.41;;;;
KARABÜK ÜNİVERSİTESİ;40.41;;;;
KIRKLARELİ ÜNİVERSİTESİ;40.41;;;;
MUDANYA ÜNİVERSİTESİ;40.41;;;;
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ;40.41;;;;
TÜRK-ALMAN ÜNİVERSİTESİ;40.41;;;;
DOĞUŞ ÜNİVERSİTESİ;39.58;;;;
ALTINBAŞ ÜNİVERSİTESİ;39.16;;;;
ÇANKIRI KARATEKİN ÜNİVERSİTESİ;38.75;;;;
BAŞKENT ÜNİVERSİTESİ;38.74;;;;
IŞIK ÜNİVERSİTESİ;38.74;;;;
İSTANBUL MEDİPOL ÜNİVERSİTESİ;38.74;;;;
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;38.74;;;;
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ;38.74;;;;
ÇAĞ ÜNİVERSİTESİ;37.91;;;;
İSTANBUL GALATA ÜNİVERSİTESİ;37.91;;;;
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;37.91;;;;
KASTAMONU ÜNİVERSİTESİ;37.5;;;;
TARSUS ÜNİVERSİTESİ;37.5;;;;
GEBZE TEKNİK ÜNİVERSİTESİ;37.08;;;;
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ;37.08;;;;
İSTANBUL GEDİK ÜNİVERSİTESİ;37.08;;;;
İZMİR KAVRAM MESLEK YÜKSEKOKULU;37.08;;;;
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ;37.08;;;;
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;37.08;;;;
SÜLEYMAN DEMİREL ÜNİVERSİTESİ;37.08;;;;
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ;36.66;;;;
İSTANBUL MEDENİYET ÜNİVERSİTESİ;36.25;;;;
ANKARA MEDİPOL ÜNİVERSİTESİ;35.41;;;;
GAZİ ÜNİVERSİTESİ;35.41;;;;
ORTA DOĞU TEKNİK ÜNİVERSİTESİ;35.41;;;;
TOROS ÜNİVERSİTESİ;35.41;;;;
FENERBAHÇE ÜNİVERSİTESİ;33.75;;;;
ONDOKUZ MAYIS ÜNİVERSİTESİ;33.75;;;;
TRABZON ÜNİVERSİTESİ;33.75;;;;
ÇANKAYA ÜNİVERSİTESİ;33.33;;;;
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;33.33;;;;
ATATÜRK ÜNİVERSİTESİ;32.49;;;;
YAŞAR ÜNİVERSİTESİ;32.08;;;;
İZMİR TINAZTEPE ÜNİVERSİTESİ;30.83;;;;
İSTANBUL TEKNİK ÜNİVERSİTESİ;29.58;;;;
TED ÜNİVERSİTESİ;29.16;;;;
İSTANBUL BEYKENT ÜNİVERSİTESİ;27.92;;;;
YEDİTEPE ÜNİVERSİTESİ;26.25;;;;
