Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CSV Injection
SİNOP ÜNİVERSİTESİ;http://www.sinop.edu.tr;True;True;12.08.2024 00:00;9.08.2025 23:59;False;True;True;False;False;False;True;True;2;False
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.sivas.edu.tr/;True;True;3.12.2024 00:00;3.12.2025 23:59;True;True;True;True;True;False;False;False;5;False
SİVAS CUMHURİYET ÜNİVERSİTESİ;http://www.cumhuriyet.edu.tr;True;True;4.12.2024 12:53;5.01.2026 12:53;False;False;False;False;False;False;True;True;0;False
SÜLEYMAN DEMİREL ÜNİVERSİTESİ;http://www.sdu.edu.tr/;True;True;18.09.2024 00:00;1.06.2025 23:59;False;False;False;False;False;False;True;True;0;False
ŞIRNAK ÜNİVERSİTESİ;http://www.sirnak.edu.tr;True;True;2.01.2025 00:00;2.02.2026 23:59;True;False;False;False;False;False;True;True;1;False
TARSUS ÜNİVERSİTESİ;www.tarsus.edu.tr;True;True;18.12.2024 00:00;18.01.2026 23:59;True;True;False;False;False;False;True;False;2;False
TED ÜNİVERSİTESİ;http://www.tedu.edu.tr;True;True;6.02.2025 13:13;10.03.2026 13:13;True;False;True;True;False;False;False;True;3;False
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ;http://www.nku.edu.tr;True;True;12.06.2024 06:58;12.06.2025 06:58;False;False;False;False;False;False;True;True;0;False
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ;www.etu.edu.tr;True;True;26.11.2024 00:00;27.12.2025 23:59;False;False;True;True;False;False;False;True;2;False
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ;www.gop.edu.tr;True;True;31.07.2024 00:00;30.07.2025 23:59;False;False;False;False;False;False;True;True;0;False
TOROS ÜNİVERSİTESİ;www.toros.edu.tr;True;True;19.04.2025 01:16;18.07.2025 02:14;False;False;True;True;False;False;False;True;2;False
TRABZON ÜNİVERSİTESİ;www.trabzon.edu.tr;True;True;17.03.2025 00:00;17.04.2026 23:59;False;False;False;False;False;False;True;True;0;False
TRAKYA ÜNİVERSİTESİ;http://www.trakya.edu.tr/;True;True;8.05.2025 06:48;9.06.2026 06:48;True;False;False;False;False;False;True;True;1;True
TÜRK HAVA KURUMU ÜNİVERSİTESİ;http://www.thk.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
TÜRK-ALMAN ÜNİVERSİTESİ;http://www.tau.edu.tr/;True;True;19.09.2024 00:00;21.09.2025 23:59;False;False;False;False;False;False;True;True;0;False
TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;True
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;True
UFUK ÜNİVERSİTESİ;http://www.ufuk.edu.tr;True;True;18.05.2025 18:57;16.08.2025 18:57;False;False;False;False;False;False;True;True;0;False
UŞAK ÜNİVERSİTESİ;http://www.usak.edu.tr;True;True;20.09.2024 00:00;21.10.2025 23:59;True;False;False;False;False;False;True;True;1;False
ÜSKÜDAR ÜNİVERSİTESİ;http://www.uskudar.edu.tr;True;True;16.04.2025 11:52;15.07.2025 11:52;False;False;False;False;False;False;True;True;0;False
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ;http://www.yyu.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;False
YALOVA ÜNİVERSİTESİ;http://www.yalova.edu.tr/rektorl uk;True;True;9.09.2024 00:00;10.10.2025 23:59;True;False;False;False;False;False;True;True;1;True
YAŞAR ÜNİVERSİTESİ;http://www.yasar.edu.tr;True;True;1.11.2024 00:00;1.12.2025 23:59;False;False;True;True;True;False;False;True;3;False
YEDİTEPE ÜNİVERSİTESİ;http://www.yeditepe.edu.tr/;True;True;5.08.2024 00:00;8.08.2025 23:59;True;False;True;True;True;False;False;True;4;False
YILDIZ TEKNİK ÜNİVERSİTESİ;http://www.yildiz.edu.tr;True;True;17.10.2024 00:00;17.11.2025 23:59;False;False;True;True;False;False;False;True;2;False
YOZGAT BOZOK ÜNİVERSİTESİ;http://www.bozok.edu.tr/;True;True;26.11.2024 00:00;21.10.2025 23:59;False;False;False;False;False;False;True;True;0;False
YÜKSEK İHTİSAS ÜNİVERSİTESİ;www.yuksekihtisasuniversitesi.e du.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ;https://www.beun.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;False
