Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);CSV Injection
GİRESUN ÜNİVERSİTESİ;http://www.giresun.edu.tr/;True;True;23.12.2024 00:00;22.12.2025 23:59;False;False;False;False;False;False;True;True;0;False
GÜMÜŞHANE ÜNİVERSİTESİ;http://www.gumushane.edu.tr;True;True;9.10.2024 00:00;8.10.2025 23:59;False;False;False;False;False;False;True;True;0;False
HACETTEPE ÜNİVERSİTESİ;http://hacettepe.edu.tr;True;True;2.08.2024 00:00;2.09.2025 23:59;True;False;False;False;False;False;True;True;1;False
HAKKARİ ÜNİVERSİTESİ;www.hakkari.edu.tr / www.hu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True
HALİÇ ÜNİVERSİTESİ;www.halic.edu.tr;True;True;26.12.2024 12:52;27.01.2026 12:52;True;True;True;True;False;False;False;False;4;False
HARRAN ÜNİVERSİTESİ;http://www.harran.edu.tr/;True;True;6.05.2024 00:00;6.06.2025 23:59;False;False;False;False;False;False;True;True;0;False
HASAN KALYONCU ÜNİVERSİTESİ;www.hku.edu.tr;True;True;17.05.2025 13:12;15.08.2025 13:12;False;False;False;False;False;False;True;True;0;False
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;http://www.mku.edu.tr;True;True;28.11.2024 00:00;29.12.2025 23:59;False;False;False;False;False;False;True;True;0;False
HİTİT ÜNİVERSİTESİ;http://www.hitit.edu.tr/;True;True;25.11.2024 00:00;25.11.2025 23:59;True;False;False;False;False;False;True;True;1;False
IĞDIR ÜNİVERSİTESİ;http://www.igdir.edu.tr;True;True;6.04.2025 19:20;5.07.2025 19:20;False;False;False;False;False;False;True;True;0;False
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;https://isparta.edu.tr/;True;True;21.01.2025 00:00;1.02.2026 23:59;False;False;True;False;False;False;True;True;1;False
IŞIK ÜNİVERSİTESİ;http://www.isikun.edu.tr/;True;True;4.11.2024 00:00;7.11.2025 23:59;False;False;True;True;False;False;False;True;2;False
İBN HALDUN ÜNİVERSİTESİ;www.ihu.edu.tr;True;True;28.06.2024 07:26;30.07.2025 07:26;False;False;False;False;False;False;True;True;0;False
