Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery
ABDULLAH GÜL ÜNİVERSİTESİ;http://www.agu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ;http://www.acibadem.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.atu.edu.tr;True;True;9.04.2025 00:00;10.05.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;True;False;True;Kapsam Dışı
ADIYAMAN ÜNİVERSİTESİ;http://www.adiyaman.edu.tr/;True;True;17.10.2024 00:00;23.10.2025 23:59;True;False;False;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
AFYON KOCATEPE ÜNİVERSİTESİ;http://www.aku.edu.tr;True;True;20.09.2024 00:00;20.08.2025 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;www.afsu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ;http://www.agri.edu.tr;True;True;9.01.2025 00:00;9.02.2026 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
AKDENİZ ÜNİVERSİTESİ;http://www.akdeniz.edu.tr;True;True;6.06.2024 00:00;11.06.2025 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
AKSARAY ÜNİVERSİTESİ;www.aksaray.edu.tr;True;True;17.05.2025 20:31;15.08.2025 21:29;False;False;True;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ;http://www.alanya.edu.tr/;True;True;8.05.2025 12:31;6.08.2025 12:31;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
ALANYA ÜNİVERSİTESİ;http://www.alanyauniversity.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
ALTINBAŞ ÜNİVERSİTESİ;http://www.altinbas.edu.tr/tr;True;True;14.01.2025 00:00;14.02.2026 23:59;True;True;True;True;False;False;False;False;4;True;True;False;True;True;Kapsam Dışı
AMASYA ÜNİVERSİTESİ;http://www.amasya.edu.tr;True;True;26.08.2024 00:00;26.09.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ANADOLU ÜNİVERSİTESİ;http://www.anadolu.edu.tr/;True;True;8.05.2025 15:23;9.06.2026 15:23;True;False;True;True;True;False;False;True;4;True;True;True;True;True;Kapsam Dışı
ANKA TEKNOLOJİ ÜNİVERSİTESİ;-;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
ANKARA BİLİM ÜNİVERSİTESİ;www.ankarabilim.edu.tr;True;True;12.12.2024 00:00;11.01.2026 23:59;False;False;False;False;False;False;True;True;0;True;True;True;True;True;Kapsam Dışı
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ;https://hacibayram.edu.tr;True;True;29.07.2024 09:37;30.08.2025 09:37;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ANKARA MEDİPOL ÜNİVERSİTESİ;www.ankaramedipol.edu.tr;True;True;23.03.2025 13:32;21.06.2025 14:31;False;False;True;True;True;False;False;True;3;True;False;False;False;True;Kapsam Dışı
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ;http://www.mgu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;True;False;False;False;True;Kapsam Dışı
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ;http://www.asbu.edu.tr/;True;True;31.01.2025 00:00;4.02.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
ANKARA ÜNİVERSİTESİ;http://www.ankara.edu.tr;True;True;29.04.2025 00:00;14.05.2026 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ;www.aybu.edu.tr;True;True;8.10.2024 00:00;8.11.2025 23:59;True;False;False;False;False;False;True;True;1;True;True;False;True;True;Kapsam Dışı
ANTALYA BELEK ÜNİVERSİTESİ;www.belek.edu.tr;True;True;17.02.2025 05:59;17.02.2026 05:59;True;False;False;False;False;False;True;True;1;True;False;False;False;True;Kapsam Dışı
ANTALYA BİLİM ÜNİVERSİTESİ;http://www.antalya.edu.tr/;True;True;7.06.2024 00:00;6.06.2025 23:59;False;False;False;False;False;False;True;True;0;True;True;False;True;True;Kapsam Dışı
ARDAHAN ÜNİVERSİTESİ;http://www.ardahan.edu.tr;True;True;19.03.2025 00:00;19.04.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;True;True;True;Kapsam Dışı
ARTVİN ÇORUH ÜNİVERSİTESİ;http://www.artvin.edu.tr;True;True;6.05.2025 20:39;4.08.2025 21:35;True;False;True;True;True;False;False;True;4;True;True;False;True;True;Kapsam Dışı
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;http://www.adiguzel.edu.tr/;True;True;14.04.2025 00:00;14.04.2026 23:59;False;False;False;False;False;False;True;True;0;True;False;False;False;True;Kapsam Dışı
