Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);A01 - Broken Access Control;A04 - Insecure Design;A06 - Vulnerable and Outdated Components;A07 - Identification and Authentication Failures;A09 - Security Logging and Monitoring Failures;A10 - Server-Side Request Forgery;CSV Injection;CRLF Injection;Unrestricted File Upload;X-Powered-By Exposure;Iframe Kullanımı;Mixed Content Risk;Deprecated HTML Elements;Referrer Policy Mevcut mu?;Gzip Compression Aktif mi?;robots.txt Var mı?;sitemap.xml Var mı?;Doctype Var mı?;Title Tag Var mı?;Secure/HttpOnly Cookie Flag Eksik?;HSTS Süresi Yetersiz mi?;CORS Açıklığı Var mı?;Yanıt Süresi (ms);Mobil Uyumlu mu?;Başlık Boş mu?;Tüm IMG'lerde Lazy Load Var mı?;Formda Password Input Var mı?;Toplam HTML Tag Sayısı;Tracking Script Var mı?;HTTPS Yönlendirme Var mı?;Sıkı CSP Var mı?;OG Tag Var mı?;Structured Data Var mı?;SSL Sertifikası Geçerli mi?;H1 Etiket Sayısı;Inline Script Kullanımı;Meta Robots İçeriği;Başlık Uzunluğu (karakter);Tüm IMG'lerde loading/width/height var mı?;Toplam Skor
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;http://www.adiguzel.edu.tr/;1;1;14.04.2025 00:00;14.04.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;468;1;0;1;1;1479;0;1;0;1;1;1;0;1;max-image-preview:large;36;0;23
ATATÜRK ÜNİVERSİTESİ;http://www.atauni.edu.tr;1;1;7.05.2025 14:18;5.08.2025 14:18;1;1;1;1;0;0;0;0;4;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;10
ATILIM ÜNİVERSİTESİ;www.atilim.edu.tr;1;1;9.10.2024 09:50;10.11.2025 09:50;1;1;1;1;1;0;0;0;5;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;1;0;1;0;1;1;0;1;0;95;1;0;1;0;1660;0;1;1;1;1;1;1;1;;19;0;26
AVRASYA ÜNİVERSİTESİ;www.avrasya.edu.tr;1;1;31.01.2025 00:00;1.01.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;1;1;1;1;1;1;0;530;0;0;1;0;1323;0;1;0;0;0;1;0;1;max-image-preview:large;74;0;19
AYDIN ADNAN MENDERES ÜNİVERSİTESİ;http://www.adu.edu.tr;1;1;3.01.2025 00:00;3.02.2026 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;660;1;0;1;0;1096;0;1;0;0;0;1;0;1;;33;0;21
BAHÇEŞEHİR ÜNİVERSİTESİ;http://www.bahcesehir.edu.tr;1;1;24.12.2024 14:09;25.01.2026 14:09;1;0;1;1;0;0;0;1;3;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;1534;1;0;1;0;935;1;1;0;1;0;1;0;1;index, follow;29;0;25
BALIKESİR ÜNİVERSİTESİ;http://www.balikesir.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;http://www.bandirma.edu.tr;1;1;25.11.2024 00:00;25.11.2025 23:59;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;0;1;1;0;1;0;1251;1;0;1;0;1676;0;1;0;1;0;1;0;1;;46;0;21
BARTIN ÜNİVERSİTESİ;http://www.bartin.edu.tr/;1;1;5.09.2024 00:00;6.10.2025 23:59;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;2949;0;0;1;0;1059;0;1;0;0;1;1;1;1;;19;0;18
BAŞKENT ÜNİVERSİTESİ;http://www.baskent.edu.tr;1;1;26.03.2025 00:00;3.04.2026 23:59;0;0;1;1;1;0;0;1;3;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;1239;0;0;1;0;996;0;1;0;0;0;1;8;1;;20;0;19
BATMAN ÜNİVERSİTESİ;http://www.batman.edu.tr;1;1;6.01.2025 00:00;3.12.2025 23:59;1;0;0;0;1;0;1;1;2;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;866;1;0;1;0;1928;0;1;0;0;0;1;0;1;;19;0;25
BAYBURT ÜNİVERSİTESİ;https://bayburt.edu.tr;1;1;18.07.2024 00:00;26.07.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;1833;1;0;1;0;1242;0;1;0;1;0;1;1;1;;20;0;22
BEYKOZ ÜNİVERSİTESİ;www.beykoz.edu.tr;1;1;5.08.2024 00:00;5.08.2025 23:59;1;0;1;1;0;0;0;1;3;1;0;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;672;1;0;1;0;753;0;1;0;1;0;1;1;1;index,follow;19;0;24
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;http://www.bezmialem.edu.tr/;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;http://www.bilecik.edu.tr/;1;1;30.05.2024 13:47;30.05.2025 13:47;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;979;1;0;1;0;1455;0;1;0;0;0;1;0;1;;33;0;23
BİNGÖL ÜNİVERSİTESİ;http://www.bingol.edu.tr;1;1;3.12.2024 00:00;3.12.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;0;182;0;0;1;0;923;0;1;0;1;0;1;1;1;;19;0;20
BİRUNİ ÜNİVERSİTESİ;http://www.biruni.edu.tr/;1;1;4.11.2024 00:00;5.12.2025 23:59;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;642;1;0;1;0;8707;0;1;0;1;0;1;0;1;;30;0;20
BİTLİS EREN ÜNİVERSİTESİ;www.beu.edu.tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
BOĞAZİÇİ ÜNİVERSİTESİ;https://www.bogazici.edu.tr;1;1;13.08.2024 00:00;13.08.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0;489;0;0;1;0;2168;0;1;0;1;0;1;1;1;;26;0;20
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ;http://www.ibu.edu.tr/;1;1;14.05.2025 00:00;9.03.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4193;1;0;1;0;1625;0;1;0;1;0;1;0;0;;0;0;13
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ;http://www.mehmetakif.edu.tr;1;1;3.09.2024 00:00;22.08.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;0;0;0;1;0;0;1;0;1;1;0;566;1;1;0;0;214;0;0;0;0;1;1;0;1;;0;0;19
BURSA TEKNİK ÜNİVERSİTESİ;http://btu.edu.tr/;1;1;20.12.2024 11:34;21.01.2026 11:34;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;0;608;0;0;1;0;1279;0;1;0;1;0;1;0;1;;25;0;21
BURSA ULUDAĞ ÜNİVERSİTESİ;http://www.uludag.edu.tr/;1;1;13.08.2024 00:00;4.09.2025 23:59;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;574;1;0;1;0;1253;0;1;0;0;0;1;0;1;;25;0;23
ÇAĞ ÜNİVERSİTESİ;http://www.cag.edu.tr/;1;1;6.05.2025 23:49;4.08.2025 23:49;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;1;0;1;1;0;1;1;1;1;0;900;1;0;1;0;1589;1;1;0;1;0;1;0;1;;47;0;22
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ;www.comu.edu.tr;1;1;30.09.2024 00:00;31.10.2025 23:59;1;0;1;1;1;0;0;1;4;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;1;1;1;0;1;1;0;1;0;849;1;0;1;0;1646;0;1;0;0;0;1;0;1;index,follow;42;0;24
ÇANKAYA ÜNİVERSİTESİ;http://www.cankaya.edu.tr/;1;1;7.06.2024 00:00;23.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;601;1;0;1;0;658;0;0;0;0;0;1;0;1;;20;0;18
ÇANKIRI KARATEKİN ÜNİVERSİTESİ;www.karatekin.edu.tr;1;1;15.05.2025 05:01;13.08.2025 05:01;0;0;0;0;0;0;1;1;0;1;0;0;1;1;Kapsam Dışı;1;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;740;0;0;1;0;1778;0;0;0;1;0;1;0;1;;30;0;19
ÇUKUROVA ÜNİVERSİTESİ;www.cu.edu.tr;1;1;4.10.2024 14:15;5.11.2025 14:15;1;0;1;1;0;0;0;1;3;1;1;0;1;1;Kapsam Dışı;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;0;744;0;0;1;0;1215;0;1;0;0;0;1;0;1;;45;0;20
DEMİROĞLU BİLİM ÜNİVERSİTESİ;http://www.demiroglu.bilim.edu. tr;0;0;;;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;0;0;0;;0;0;7
DİCLE ÜNİVERSİTESİ;www.dicle.edu.tr;1;1;5.05.2025 12:25;5.05.2026 12:25;0;0;0;0;0;0;1;1;0;1;1;0;0;1;Kapsam Dışı;0;0;0;1;0;1;1;0;0;0;0;1;1;1;1;0;703;1;0;1;0;1059;0;1;0;0;0;1;0;1;;26;0;19
DOĞUŞ ÜNİVERSİTESİ;http://www.dogus.edu.tr;1;1;3.08.2024 08:27;19.08.2025 06:45;1;0;1;1;1;0;0;1;4;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;3108;0;0;1;0;995;1;1;0;1;0;1;1;1;;29;0;28
DOKUZ EYLÜL ÜNİVERSİTESİ;http://www.deu.edu.tr;1;1;17.05.2024 00:00;17.06.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;609;0;0;0;0;6;0;1;0;0;0;1;1;0;;13;0;12
DÜZCE ÜNİVERSİTESİ;http://www.duzce.edu.tr/;1;1;9.04.2025 00:00;10.05.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;0;1;1;1;1;0;763;1;0;1;0;618;0;1;0;0;0;1;0;1;;29;0;19
EGE ÜNİVERSİTESİ;http://www.ege.edu.tr;1;1;31.05.2024 00:00;31.05.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;0;1;0;0;0;1;1;0;1;1;1;1;644;1;1;1;0;1100;0;1;0;0;0;1;0;1;index,follow;0;0;22
ERCİYES ÜNİVERSİTESİ;http://www.erciyes.edu.tr;1;1;3.07.2024 00:00;3.08.2025 23:59;0;0;1;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;863;1;0;1;0;1689;0;1;0;1;0;1;0;1;;34;0;22
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ;http://www.ebyu.edu.tr;1;1;1.10.2024 00:00;8.09.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1501;0;0;1;0;1979;0;1;0;0;0;1;0;1;max-image-preview:large;40;0;19
ERZURUM TEKNİK ÜNİVERSİTESİ;http://www.erzurum.edu.tr/;1;1;3.04.2025 07:06;2.07.2025 07:06;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;0;0;1;1;1;1;0;669;1;0;1;0;905;0;1;0;0;0;1;8;1;;27;0;21
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ;http://www.ogu.edu.tr;1;1;4.07.2024 00:00;2.08.2025 23:59;0;0;0;0;0;0;1;1;0;1;1;0;1;1;Kapsam Dışı;0;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;794;1;0;1;0;582;0;1;0;0;0;1;1;1;;43;0;21
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ;https://www.eskisehir.edu.tr/;1;1;11.06.2024 11:32;11.06.2025 11:32;1;0;0;0;0;0;1;1;1;1;1;0;1;1;Kapsam Dışı;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;708;1;0;1;0;1530;0;0;0;0;0;1;0;1;;40;0;20
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;www.fsm.edu.tr;1;1;21.03.2025 08:53;22.04.2026 08:53;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;1;0;0;1;1;1;1;1;1;1;1;823;1;0;1;0;1867;0;1;0;0;0;1;0;1;;46;0;22
FENERBAHÇE ÜNİVERSİTESİ;www.fbu.edu.tr;1;1;14.11.2024 00:00;14.11.2025 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;-1;0;1;1;0;8;0;0;0;0;0;1;0;1;;23;0;17
FIRAT ÜNİVERSİTESİ;http://www.firat.edu.tr/;1;1;6.12.2024 00:00;5.01.2026 23:59;0;0;0;0;0;0;1;1;0;1;0;0;0;1;Kapsam Dışı;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;-1;0;1;0;0;0;0;0;0;0;0;1;0;0;;0;0;10
GALATASARAY ÜNİVERSİTESİ;http://www.gsu.edu.tr;1;1;17.03.2025 00:00;15.04.2026 23:59;1;0;1;0;0;0;1;1;2;1;0;0;0;1;Kapsam Dışı;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;157;1;0;1;1;1078;0;1;0;0;0;1;0;1;;35;0;22
